id,name,town,region,country,marketSegment,tripadvisorRank,latitude,longitude,officialWebsite,policyPage,bookingCom,dataSource,taxCount,feeCount,resortFee,parkingFee,childrenFreeAge,adultCharge,damageDeposit,scrapedAt,scrapingNotes
australia-perisher-lake-jindabyne-hotel,Lake Jindabyne Hotel,Perisher,New South Wales,Australia,Midscale,25,-36.3834,148.4278,https://www.lakejindabynehotel.com.au/,https://lakejindabynehotel.com.au,,official,0,0,,,,,,2025-12-20T10:23:09Z,No taxes or fees found on policy page
australia-perisher-ski-rider-motel,Ski Rider Motel,Perisher,New South Wales,Australia,Economy,26,-36.3624,148.4068,https://www.skirider.com.au/,https://www.skirider.com.au/hotel-information/,,official,0,0,,,,,,2025-12-20T10:23:47Z,No taxes or fees found on policy page
australia-perisher-snowy-valley-resort,Snowy Valley Resort,Perisher,New South Wales,Australia,Midscale,29,-36.3856,148.4301,https://www.snowyvalleyresort.com.au/,https://snowyvalleyresort.com.au/terms-conditions/,,official,0,0,,,,,,2025-12-20T10:25:12Z,No taxes or fees found on policy page
australia-thredbo-thredbo-alpine-hotel,Thredbo Alpine Hotel,Thredbo,New South Wales,Australia,Upscale,1,-36.5034,148.3067,https://www.thredbo.com.au/accommodation/thredbo-alpine-hotel/,https://www.thredbo.com.au/terms-conditions/,,official,0,0,,,,,,2025-12-20T09:31:11Z,No taxes or fees found on policy page
australia-thredbo-house-of-ullr,House of Ullr,Thredbo,New South Wales,Australia,Upscale,3,-36.5023,148.3056,https://www.houseofullr.com.au/,https://www.houseofullr.com.au/terms-and-conditions,,official,0,0,,,,,,2025-12-20T09:32:04Z,No taxes or fees found on policy page
australia-thredbo-thredbo-yha,Thredbo YHA,Thredbo,New South Wales,Australia,Economy,8,-36.5078,148.3112,https://www.yha.com.au/hostels/nsw/snowy-mountains/thredbo/,https://www.yha.com.au/hostels/booking-terms-and-conditions/,,official,0,0,,,,,,2025-12-20T09:35:07Z,No taxes or fees found on policy page
australia-thredbo-lantern-apartments,Lantern Apartments,Thredbo,New South Wales,Australia,Upper-Midscale,9,-36.499,148.3023,https://www.lanternapartments.com.au/,https://www.lanternapartments.com.au/terms-conditions/,,official,0,0,,,,,,2025-12-20T09:35:15Z,No taxes or fees found on policy page
australia-thredbo-alpine-gables,Alpine Gables,Thredbo,New South Wales,Australia,Upper-Midscale,11,-36.4979,148.3012,https://www.alpinegables.com.au/,https://alpinegables.com.au/home,,official,0,0,,,,,,2025-12-20T09:35:55Z,No taxes or fees found on policy page
australia-thredbo-matterhorn-lodge,Matterhorn Lodge,Thredbo,New South Wales,Australia,Upper-Midscale,14,-36.5112,148.3145,https://www.matterhornlodge.com.au/,https://www.matterhornlodge.com.au/s/FQA.pdf,,official,0,0,,,,,,2025-12-20T09:37:51Z,No taxes or fees found on policy page
australia-thredbo-snowgoose-apartments,Snowgoose Apartments,Thredbo,New South Wales,Australia,Upper-Midscale,15,-36.4957,148.299,https://www.snowgoose.com.au/,https://www.snowgoose.com.au/pages/faqs,,official,0,0,,,,,,2025-12-20T09:38:31Z,No taxes or fees found on policy page
australia-thredbo-crackenback-resort,Crackenback Resort,Thredbo,New South Wales,Australia,Upscale,16,-36.4623,148.2789,https://www.crackenback.com.au/,https://www.crackenback.com.au/faq/,,official,0,0,,,,,,2025-12-20T09:39:02Z,No taxes or fees found on policy page
australia-thredbo-banjo-paterson-inn,Banjo Paterson Inn,Thredbo,New South Wales,Australia,Midscale,25,-36.4189,148.6245,https://www.banjopatersoninn.com.au/,https://www.banjopatersoninn.com.au/terms-conditions,,official,0,0,,,,,,2025-12-20T09:44:31Z,No taxes or fees found on policy page
australia-thredbo-jindy-inn-jindabyne,Jindy Inn Jindabyne,Thredbo,New South Wales,Australia,Midscale,28,-36.4212,148.6267,https://www.jindyinn.com.au/,https://www.jindyinn.com.au/about-2/faq,,official,0,0,,,,,,2025-12-20T09:46:12Z,No taxes or fees found on policy page
